V |                      | ArgumentsFromParametersFile.OnBuildCreated (150)
V |                      | Passing value for <unresolved> (MarkdownUtils.sln)
V |                      | InjectParameterValues.OnBuildCreated (100)
V |                      | HandleShellCompletion.OnBuildCreated (75)
V |                      | GenerateBuildServerConfigurations.OnBuildCreated (50)
V |                      | InvokeBuildServerConfigurationGeneration.OnBuildCreated (45)
V |                      | UpdateNotification.OnBuildCreated (10)
V |                      | UnsetVisualStudioEnvironmentVariables.OnBuildCreated (0)
V |                      | HandleVisualStudioDebugging.OnBuildCreated (0)
V |                      | HandleSingleFileExecution.OnBuildCreated (-50)
V |                      | EventInvoker.OnBuildCreated (-3.4028235E+38)
V |                      | HandleHelpRequests.OnBuildInitialized (5)
V |                      | Telemetry.OnBuildInitialized (0)
V |                      | InjectNonParameterValues.OnBuildInitialized (-100)
V |                      | EventInvoker.OnBuildInitialized (-3.4028235E+38)
